"Sexe"	"Commune de travail"	"1996 T4"	"1997 T4"	"1998 T4"	"1999 T4"	"2000 T4"	"2001 T4"	"2002 T4"	"2003 T4"	"2004 T4"	"2005 T4"	"2006 T4"	"2007 T4"	"2008 T4"	"2009 T4"	"2010 T4"	"2011 T4"	"2012 T4"	"2013 T4"	"2014 T4"
"Sexe - Total"	"……Pailly"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.8	0.8	0.8	0.8	1.7
"Sexe - Total"	"……Penthéréaz"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.9	3.4	3.4	3.4	4.2	4.2	5.1	5.8
"Sexe - Total"	"……Poliez-Pittet"	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.0	0.0	0.0	0.0	0.0	0.8	0.8	2.5	2.5
"Sexe - Total"	"……Rueyres"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1	5.1	5.0	5.1	5.1	5.9	5.8
"Sexe - Total"	"……Saint-Barthélemy (VD)"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	1.7	2.5	2.5	4.2	4.2	7.5
"Sexe - Total"	"……Villars-le-Terroir"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.0	0.0
"Sexe - Total"	"……Vuarrens"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	2.5	5.9	5.8
"Sexe - Total"	"……Montilliez"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	4.2	1.7	1.7	1.7
"Sexe - Total"	"……Goumoëns"	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.9	0.9	0.9	1.7	0.9	0.0	0.8	0.8	0.8	0.8
"Sexe - Total"	"……Bonvillars"	0.9	0.9	0.9	0.0	0.0	1.9	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.9	0.8	0.8	0.8	1.7	2.5
"Sexe - Total"	"……Bullet"	14.2	14.2	18.0	13.2	17.9	26.4	27.3	27.3	21.7	22.1	24.0	18.9	16.2	16.2	15.1	16.1	14.4	19.5	26.6
"Sexe - Total"	"……Champagne"	24.6	18.9	15.1	17.0	23.6	33.0	34.9	36.7	30.7	24.7	27.4	28.4	29.1	30.7	31.9	33.1	31.4	32.2	34.1
"Sexe - Total"	"……Concise"	2.8	2.8	4.7	4.7	4.7	4.7	4.7	2.8	1.8	1.7	1.7	2.6	4.3	4.3	4.2	5.1	5.9	3.4	2.5
"Sexe - Total"	"……Corcelles-près-Concise"	0.0	0.0	0.0	0.0	0.0	0.9	2.8	1.9	1.8	2.6	2.6	2.6	2.6	1.7	1.7	1.7	1.7	0.8	1.7
"Sexe - Total"	"……Fiez"	0.9	0.9	0.9	0.9	0.9	1.9	2.8	1.9	2.7	2.6	2.6	2.6	2.6	4.3	3.4	2.5	1.7	0.8	0.8
"Sexe - Total"	"……Fontaines-sur-Grandson"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Giez"	6.6	8.5	11.3	10.4	6.6	9.4	6.6	5.7	6.3	9.4	7.7	6.0	8.5	8.5	8.4	9.3	8.5	9.3	9.1
"Sexe - Total"	"……Grandevent"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Grandson"	41.7	42.6	47.3	46.3	53.8	66.0	59.4	54.6	66.0	65.5	67.7	71.4	70.1	70.8	68.7	76.3	81.6	83.8	89.7
"Sexe - Total"	"……Mauborget"	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0
"Sexe - Total"	"……Mutrux"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.0	0.0	0.9	0.8	1.7	0.8	1.7	0.8
"Sexe - Total"	"……Novalles"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Onnens (VD)"	2.8	2.8	2.8	4.7	2.8	2.8	3.8	3.8	6.3	7.7	9.4	11.2	15.4	15.4	15.1	13.6	15.3	16.9	10.8
"Sexe - Total"	"……Provence"	0.0	0.0	0.0	0.9	1.9	1.9	2.8	2.8	4.5	5.1	4.3	3.4	2.6	3.4	5.9	7.6	8.5	5.1	10.0
"Sexe - Total"	"……Sainte-Croix"	261.4	259.3	263.8	265.5	283.3	305.7	316.8	314.6	319.1	319.8	324.1	331.1	371.7	357.6	326.1	331.7	367.1	371.6	353.8
"Sexe - Total"	"……Tévenon"	3.8	3.8	3.8	4.7	3.8	4.7	1.9	0.9	1.8	3.4	4.3	5.2	6.8	8.5	13.4	13.6	14.4	17.8	18.3
"Sexe - Total"	"……Belmont-sur-Lausanne"	1.9	0.9	0.0	0.0	1.9	3.8	4.7	2.8	1.8	0.9	0.9	0.0	0.0	0.9	0.0	1.7	2.5	2.5	2.5
"Sexe - Total"	"……Cheseaux-sur-Lausanne"	50.2	50.2	58.6	48.2	43.4	46.2	68.8	73.5	74.1	77.4	86.6	107.5	143.6	146.8	149.2	173.9	159.8	152.4	137.9
"Sexe - Total"	"……Crissier"	155.3	173.2	163.6	159.7	171.8	192.5	195.2	213.8	217.9	221.1	230.6	240.8	298.3	332.0	372.2	406.3	475.1	474.1	498.4
"Sexe - Total"	"……Epalinges"	14.2	15.1	13.2	13.2	21.7	18.9	24.5	29.2	33.5	31.5	28.3	35.3	38.5	40.1	36.1	39.0	45.0	61.8	56.5
"Sexe - Total"	"……Jouxtens-Mézery"	1.9	1.9	1.9	3.8	2.8	3.8	3.8	3.8	0.9	2.6	2.6	2.6	2.6	2.6	3.4	3.4	4.2	3.4	3.3
"Sexe - Total"	"……Lausanne"	888.4	828.1	868.1	911.9	1014.1	1176.5	1244.5	1367.9	1428.4	1518.2	1864.1	2208.6	2386.9	2586.2	2914.2	3571.4	3988.2	4422.3	4542.7
